filename,bounding_boxes
000096_jpg.rf.c9f3a9d623f59933b29889153b591624.jpg,"[{""tool"": ""Wrench"", ""bbox"": [15, 276, 624, 400]}]"
20231102151116_jpg.rf.3e27d6564f71cc7f6b6d6965f8eb1532.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [10, 184, 126, 250]}, {""tool"": ""Hand"", ""bbox"": [509, 196, 641, 343]}, {""tool"": ""Hand"", ""bbox"": [470, 369, 615, 617]}, {""tool"": ""Screwdriver"", ""bbox"": [266, 161, 346, 207]}, {""tool"": ""Screwdriver"", ""bbox"": [275, 205, 363, 251]}, {""tool"": ""Screwdriver"", ""bbox"": [270, 271, 327, 289]}, {""tool"": ""Screwdriver"", ""bbox"": [289, 312, 374, 334]}, {""tool"": ""Wrench"", ""bbox"": [165, 327, 228, 496]}, {""tool"": ""Wrench"", ""bbox"": [148, 222, 232, 395]}, {""tool"": ""Wrench"", ""bbox"": [264, 71, 372, 224]}, {""tool"": ""Wrench"", ""bbox"": [289, 339, 406, 464]}, {""tool"": ""Wrench"", ""bbox"": [340, 133, 423, 289]}, {""tool"": ""Wrench"", ""bbox"": [238, 292, 274, 417]}, {""tool"": ""Wrench"", ""bbox"": [207, 382, 227, 525]}, {""tool"": ""Wrench"", ""bbox"": [355, 158, 384, 356]}, {""tool"": ""Wrench"", ""bbox"": [224, 203, 282, 229]}, {""tool"": ""Wrench"", ""bbox"": [269, 230, 335, 260]}]"
71EJRSJIWD18_jpg.rf.750cc2f5939a769f841399c766636ab6.jpg,"[{""tool"": ""Hammer"", ""bbox"": [435, 45, 636, 579]}, {""tool"": ""Wrench"", ""bbox"": [190, 196, 250, 526]}, {""tool"": ""Wrench"", ""bbox"": [270, 187, 326, 567]}, {""tool"": ""Wrench"", ""bbox"": [331, 183, 409, 570]}, {""tool"": ""Screwdriver"", ""bbox"": [92, 290, 135, 569]}]"
bigstock_Tools_645470-CLASS-IMAGE_jpg.rf.061c62932440f2f5242461ba5ff7ed0f.jpg,"[{""tool"": ""Hammer"", ""bbox"": [1, 104, 604, 437]}, {""tool"": ""Screwdriver"", ""bbox"": [5, 40, 385, 149]}, {""tool"": ""Wrench"", ""bbox"": [1, 162, 462, 257]}, {""tool"": ""Wrench"", ""bbox"": [297, 431, 535, 565]}]"
2023-08-17_12-09-13_png_jpg.rf.c71a42b2dd00b571ab6e9ab1418a1a99.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [173, 284, 439, 434]}]"
20231102151220_jpg.rf.87a52dc3f4c065ec4498d09fa78bb3c4.jpg,"[{""tool"": ""Wrench"", ""bbox"": [270, 322, 372, 460]}]"
screw_driver865_jpg.rf.3406afb30f36b27cd021e332f4958172.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [37, 42, 617, 593]}]"
20231102151244_jpg.rf.2ebfef8d2a7ba2e33c0e9aa16b0890a0.jpg,"[{""tool"": ""Cutting pliers"", ""bbox"": [281, 301, 334, 460]}]"
nipper02_jpg.rf.dc201d4c95632485cff6c2d1779f859b.jpg,"[{""tool"": ""Cutting pliers"", ""bbox"": [60, 80, 579, 512]}]"
hammer12_jpg.rf.5b96d95627e08a203dfb085ea1df9d51.jpg,"[{""tool"": ""Hammer"", ""bbox"": [216, 1, 449, 547]}, {""tool"": ""Wrench"", ""bbox"": [369, 16, 575, 582]}]"
top-view-steel-hammer-with-other-construction-elements-tools_23-2150576463_jpg.rf.e5044844d87601da09f1e27d7b77b2c2.jpg,"[{""tool"": ""Gas wrench"", ""bbox"": [6, 147, 192, 254]}, {""tool"": ""Hammer"", ""bbox"": [330, 144, 524, 464]}, {""tool"": ""Pliers"", ""bbox"": [283, 379, 422, 526]}, {""tool"": ""Ratchet"", ""bbox"": [14, 4, 140, 136]}, {""tool"": ""Screwdriver"", ""bbox"": [1, 292, 126, 357]}, {""tool"": ""Screwdriver"", ""bbox"": [7, 233, 190, 295]}, {""tool"": ""Tape measure"", ""bbox"": [471, 129, 572, 280]}]"
ToolsCollection3dmodels002-jpg89c5b487-32e8-4687-b2a4-b2cddc7470c9DefaultHQ_jpg.rf.b8af4011ac23aa301625e02f20f7a1be.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [70, 31, 130, 360]}, {""tool"": ""Gas wrench"", ""bbox"": [356, 357, 422, 601]}, {""tool"": ""Hammer"", ""bbox"": [430, 51, 546, 380]}, {""tool"": ""Hammer"", ""bbox"": [260, 44, 392, 401]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [92, 382, 152, 570]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [163, 385, 222, 580]}, {""tool"": ""Pliers"", ""bbox"": [222, 378, 285, 579]}, {""tool"": ""Pliers"", ""bbox"": [300, 380, 364, 579]}]"
20231102151542_jpg.rf.2569bd2adbe09adfa51f0eaf2e588a6a.jpg,"[{""tool"": ""Cutting pliers"", ""bbox"": [212, 181, 297, 353]}, {""tool"": ""Gun"", ""bbox"": [1, 229, 110, 407]}, {""tool"": ""Hammer"", ""bbox"": [187, 346, 377, 483]}, {""tool"": ""Needle-nose pliers"", ""bbox"": [166, 125, 232, 310]}, {""tool"": ""Pliers"", ""bbox"": [92, 178, 163, 321]}, {""tool"": ""Screwdriver"", ""bbox"": [260, 56, 284, 251]}, {""tool"": ""Screwdriver"", ""bbox"": [154, 119, 192, 310]}, {""tool"": ""Screwdriver"", ""bbox"": [92, 171, 132, 338]}]"
screw_driver803_jpg.rf.f80005efd18f7182e32bbbcbac9734e5.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [135, 48, 472, 593]}, {""tool"": ""Hammer"", ""bbox"": [212, 68, 514, 412]}]"
20231102151717_jpg.rf.be6b7fcc5b072be7b4a8f60047d73ec6.jpg,"[{""tool"": ""Adjustable spanner"", ""bbox"": [521, 52, 589, 219]}, {""tool"": ""Adjustable spanner"", ""bbox"": [1, 183, 94, 312]}, {""tool"": ""Adjustable spanner"", ""bbox"": [1, 469, 131, 580]}, {""tool"": ""Adjustable spanner"", ""bbox"": [495, 462, 619, 582]}, {""tool"": ""Adjustable spanner"", ""bbox"": [1, 33, 105, 96]}, {""tool"": ""Backsaw"", ""bbox"": [301, 94, 383, 473]}, {""tool"": ""Cutting pliers"", ""bbox"": [41, 339, 180, 444]}, {""tool"": ""Drill"", ""bbox"": [442, 180, 579, 352]}, {""tool"": ""Gas wrench"", ""bbox"": [232, 76, 282, 364]}]"
