filename,bounding_boxes
000096_jpg.rf.c9f3a9d623f59933b29889153b591624.jpg,"[{""tool"": ""open-end wrench"", ""bbox"": [30, 245, 619, 408]}]"
20231102151116_jpg.rf.3e27d6564f71cc7f6b6d6965f8eb1532.jpg,"[{""tool"": ""wrench"", ""bbox"": [78, 203, 204, 440]}, {""tool"": ""socket wrench"", ""bbox"": [256, 399, 382, 548]}]"
71EJRSJIWD18_jpg.rf.750cc2f5939a769f841399c766636ab6.jpg,"[{""tool"": ""wrench"", ""bbox"": [230, 194, 285, 576]}, {""tool"": ""wrench"", ""bbox"": [295, 160, 351, 583]}, {""tool"": ""hammer"", ""bbox"": [338, 30, 632, 644]}, {""tool"": ""hex key"", ""bbox"": [169, 250, 209, 564]}]"
bigstock_Tools_645470-CLASS-IMAGE_jpg.rf.061c62932440f2f5242461ba5ff7ed0f.jpg,"[{""tool"": ""screwdriver"", ""bbox"": [30, 45, 409, 131]}, {""tool"": ""hammer"", ""bbox"": [26, 127, 614, 493]}, {""tool"": ""pliers"", ""bbox"": [34, 454, 375, 608]}, {""tool"": ""open-end wrench"", ""bbox"": [362, 421, 562, 614]}, {""tool"": ""box-end wrench"", ""bbox"": [179, 144, 517, 274]}]"
2023-08-17_12-09-13_png_jpg.rf.c71a42b2dd00b571ab6e9ab1418a1a99.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [197, 324, 462, 465]}]"
20231102151220_jpg.rf.87a52dc3f4c065ec4498d09fa78bb3c4.jpg,"[{""tool"": ""hammer"", ""bbox"": [243, 326, 327, 458]}]"
screw_driver865_jpg.rf.3406afb30f36b27cd021e332f4958172.jpg,"[{""tool"": ""Phillips Screwdriver"", ""bbox"": [48, 30, 597, 612]}]"
20231102151244_jpg.rf.2ebfef8d2a7ba2e33c0e9aa16b0890a0.jpg,"[{""tool"": ""pliers"", ""bbox"": [238, 304, 295, 473]}]"
nipper02_jpg.rf.dc201d4c95632485cff6c2d1779f859b.jpg,"[{""tool"": ""diagonal cutters"", ""bbox"": [90, 48, 516, 557]}]"
hammer12_jpg.rf.5b96d95627e08a203dfb085ea1df9d51.jpg,"[{""tool"": ""hammer"", ""bbox"": [168, 0, 457, 573]}, {""tool"": ""wrench"", ""bbox"": [339, 0, 644, 644]}]"
top-view-steel-hammer-with-other-construction-elements-tools_23-2150576463_jpg.rf.e5044844d87601da09f1e27d7b77b2c2.jpg,"[{""tool"": ""hammer"", ""bbox"": [350, 140, 570, 518]}, {""tool"": ""pliers"", ""bbox"": [369, 378, 481, 533]}, {""tool"": ""screwdriver"", ""bbox"": [0, 278, 157, 375]}, {""tool"": ""wrench"", ""bbox"": [0, 156, 161, 268]}, {""tool"": ""socket wrench"", ""bbox"": [0, 0, 196, 182]}, {""tool"": ""tape measure"", ""bbox"": [483, 99, 560, 288]}]"
ToolsCollection3dmodels002-jpg89c5b487-32e8-4687-b2a4-b2cddc7470c9DefaultHQ_jpg.rf.b8af4011ac23aa301625e02f20f7a1be.jpg,"[{""tool"": ""pipe wrench"", ""bbox"": [65, 47, 148, 366]}, {""tool"": ""socket wrench"", ""bbox"": [165, 53, 229, 370]}, {""tool"": ""hammer"", ""bbox"": [292, 35, 434, 370]}, {""tool"": ""pliers"", ""bbox"": [118, 425, 159, 586]}, {""tool"": ""snips"", ""bbox"": [468, 396, 545, 605]}]"
20231102151542_jpg.rf.2569bd2adbe09adfa51f0eaf2e588a6a.jpg,"[{""tool"": ""pliers"", ""bbox"": [143, 165, 247, 324]}, {""tool"": ""screwdriver"", ""bbox"": [200, 74, 258, 349]}, {""tool"": ""hammer"", ""bbox"": [218, 242, 382, 385]}, {""tool"": ""nail gun"", ""bbox"": [141, 342, 355, 495]}, {""tool"": ""wrench"", ""bbox"": [354, 382, 427, 537]}]"
screw_driver803_jpg.rf.f80005efd18f7182e32bbbcbac9734e5.jpg,"[{""tool"": ""hammer"", ""bbox"": [263, 119, 508, 327]}, {""tool"": ""wrench"", ""bbox"": [134, 36, 480, 605]}]"
20231102151717_jpg.rf.be6b7fcc5b072be7b4a8f60047d73ec6.jpg,"[{""tool"": ""pliers"", ""bbox"": [125, 243, 206, 329]}, {""tool"": ""wrenches"", ""bbox"": [318, 117, 418, 489]}, {""tool"": ""screwdrivers"", ""bbox"": [108, 158, 209, 196]}, {""tool"": ""drill"", ""bbox"": [480, 120, 628, 371]}, {""tool"": ""hammers"", ""bbox"": [232, 338, 319, 448]}, {""tool"": ""socket wrenches"", ""bbox"": [454, 284, 500, 517]}]"
D_NQ_NP_653238-MLV42032733688_062020-F_jpg.rf.df22c3eb997a8a26215a5a582a387d4e.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [34, 45, 380, 279]}, {""tool"": ""Hammer"", ""bbox"": [69, 28, 612, 468]}, {""tool"": ""Pliers"", ""bbox"": [132, 194, 577, 555]}, {""tool"": ""Utility Knife"", ""bbox"": [311, 356, 563, 617]}]"
2023-08-17_12-09-41_png_jpg.rf.0037e9d3ccfa30488415a220fc1a81b9.jpg,"[{""tool"": ""adjustable_wrench"", ""bbox"": [295, 148, 457, 516]}]"
20231102151630_jpg.rf.9e236c709153402d629bf24e058e92ef.jpg,"[{""tool"": ""pliers"", ""bbox"": [125, 243, 210, 332]}, {""tool"": ""drill"", ""bbox"": [87, 346, 197, 531]}, {""tool"": ""screwdriver"", ""bbox"": [255, 511, 346, 628]}, {""tool"": ""level"", ""bbox"": [372, 161, 479, 548]}]"
2023-08-17_12-09-00_png_jpg.rf.db5e179419ca4d0c5d488a98caa60f66.jpg,"[{""tool"": ""screwdriver"", ""bbox"": [328, 109, 415, 576]}]"
20231102151436_jpg.rf.a09cb270a073344707a09ae3fd4d662b.jpg,"[{""tool"": ""gun"", ""bbox"": [208, 320, 334, 460]}]"
20231102151614_jpg.rf.564d314d67f7839ddcfa114689d47631.jpg,"[{""tool"": ""drill"", ""bbox"": [300, 0, 350, 110]}, {""tool"": ""wrench"", ""bbox"": [448, 0, 462, 44]}]"
000091_jpg.rf.eb36dba75f6fdf7c59c162fd7643a578.jpg,"[{""tool"": ""adjustable_wrench"", ""bbox"": [73, 15, 609, 589]}]"
caliper-25-_jpg.rf.35773df410d16919c983cc35634f2dc5.jpg,"[{""tool"": ""caliper"", ""bbox"": [108, 139, 644, 644]}]"
000005_jpg.rf.beef5bb1108c24958b8fde60d8c17b10.jpg,"[{""tool"": ""adjustable_wrench"", ""bbox"": [0, 184, 635, 379]}]"
20231102151652_jpg.rf.d1736ca8fbff5c834435476436abfbcd.jpg,"[{""tool"": ""pliers"", ""bbox"": [125, 243, 210, 326]}, {""tool"": ""wrenches"", ""bbox"": [298, 122, 391, 317]}, {""tool"": ""screwdriver"", ""bbox"": [140, 374, 215, 458]}, {""tool"": ""drill"", ""bbox"": [478, 120, 627, 368]}, {""tool"": ""hammers"", ""bbox"": [10, 345, 197, 581]}, {""tool"": ""level"", ""bbox"": [374, 162, 478, 548]}, {""tool"": ""socket wrench"", ""bbox"": [453, 364, 583, 614]}]"
2023-08-17_17-09-23_png_jpg.rf.1a55a7cab63039f1727a2dcc50aba138.jpg,"[{""tool"": ""hammer"", ""bbox"": [179, 68, 314, 628]}, {""tool"": ""pliers"", ""bbox"": [270, 35, 332, 440]}, {""tool"": ""awl"", ""bbox"": [392, 16, 423, 543]}]"
screw_driver834_jpg.rf.b25328f51ff341a2f1e0bdea53195846.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [59, 118, 603, 532]}]"
51DWCz6ft0L-_AC_SX679__jpg.rf.04330b13f23625bcab369de9836cc652.jpg,"[{""tool"": ""nippers"", ""bbox"": [6, 13, 634, 630]}]"
20231102150827_jpg.rf.e9b4c3946f3d555f35e8e69b737c039a.jpg,"[{""tool"": ""screwdriver"", ""bbox"": [279, 264, 335, 450]}]"
20231102151658_jpg.rf.2597afc2568c822678c90e7451c65373.jpg,"[{""tool"": ""wrench"", ""bbox"": [380, 164, 479, 544]}, {""tool"": ""hammer"", ""bbox"": [235, 87, 277, 317]}, {""tool"": ""pliers"", ""bbox"": [127, 244, 204, 327]}, {""tool"": ""screwdriver"", ""bbox"": [158, 408, 294, 506]}, {""tool"": ""drill"", ""bbox"": [478, 120, 627, 368]}]"
caliper-86-_jpg.rf.35825d6fb320059a72128f7242bed031.jpg,"[{""tool"": ""digital caliper"", ""bbox"": [86, 209, 643, 357]}]"
2023-08-17_17-07-37_png_jpg.rf.8780b6dfc3f61e0bcd327428130755e1.jpg,"[{""tool"": ""wrench"", ""bbox"": [109, 89, 203, 604]}, {""tool"": ""pliers"", ""bbox"": [225, 70, 300, 476]}, {""tool"": ""hammer"", ""bbox"": [280, 56, 412, 615]}, {""tool"": ""screwdriver"", ""bbox"": [418, 85, 465, 624]}]"
screw_driver811_jpg.rf.93e0d1ce711db84254be8c6889c8101f.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [8, 309, 457, 546]}]"
tool-294-_jpg.rf.3d4b487ae7aa7b5ee6d8810857a59b1e.jpg,"[{""tool"": ""hammer"", ""bbox"": [0, 0, 587, 623]}]"
screw_driver948_jpg.rf.5a385b89b9dc072734a3fed2faa94137.jpg,"[{""tool"": ""Screwdriver"", ""bbox"": [24, 150, 506, 497]}, {""tool"": ""Screwdriver"", ""bbox"": [32, 273, 618, 577]}, {""tool"": ""Screwdriver"", ""bbox"": [194, 21, 421, 260]}]"
2023-08-17_17-08-16_png_jpg.rf.5b1887041352082c05b0b60b2d184fb3.jpg,"[{""tool"": ""wrench"", ""bbox"": [98, 67, 245, 543]}, {""tool"": ""screwdriver"", ""bbox"": [256, 50, 294, 580]}, {""tool"": ""hammer"", ""bbox"": [310, 21, 430, 588]}, {""tool"": ""pliers"", ""bbox"": [478, 119, 544, 532]}]"
000152_jpg.rf.7cebcba9aab472bb37bb734641039462.jpg,"[{""tool"": ""adjustable_wrench"", ""bbox"": [5, 243, 640, 370]}]"
20231102150443_jpg.rf.82c2f1bd53098cb60e5ad96dc794aa0a.jpg,"[{""tool"": ""hammer"", ""bbox"": [308, 376, 354, 423]}]"
Hammer-1117-_JPEG_jpg.rf.d71e4cab97b08b4aa8581d69c7bab9c6.jpg,"[{""tool"": ""hammer"", ""bbox"": [26, 4, 635, 637]}]"
radiopliers04_jpg.rf.ff2ebbfe1e8a51c8cca5b860d3b104ed.jpg,"[{""tool"": ""nippers"", ""bbox"": [34, 60, 610, 582]}]"
