filename,bounding_boxes
000096_jpg.rf.c9f3a9d623f59933b29889153b591624.jpg,"[{""tool"": ""wrench"", ""bbox"": [35, 309, 674, 485]}]"
20231102151116_jpg.rf.3e27d6564f71cc7f6b6d6965f8eb1532.jpg,"[{""tool"": ""hand"", ""bbox"": [579, 284, 699, 430]}, {""tool"": ""wrench"", ""bbox"": [314, 482, 449, 650]}]"
71EJRSJIWD18_jpg.rf.750cc2f5939a769f841399c766636ab6.jpg,"[{""tool"": ""hammer"", ""bbox"": [395, 40, 687, 755]}, {""tool"": ""wrench"", ""bbox"": [340, 199, 407, 685]}, {""tool"": ""wrench"", ""bbox"": [260, 239, 324, 671]}, {""tool"": ""wrench"", ""bbox"": [189, 315, 235, 654]}]"
bigstock_Tools_645470-CLASS-IMAGE_jpg.rf.061c62932440f2f5242461ba5ff7ed0f.jpg,"[{""tool"": ""hammer"", ""bbox"": [30, 164, 685, 607]}, {""tool"": ""pliers"", ""bbox"": [49, 545, 440, 720]}, {""tool"": ""wrench"", ""bbox"": [425, 507, 630, 725]}, {""tool"": ""wrench"", ""bbox"": [200, 185, 600, 345]}]"
2023-08-17_12-09-13_png_jpg.rf.c71a42b2dd00b571ab6e9ab1418a1a99.jpg,"[{""tool"": "" Screwdriver "", ""bbox"": [219, 407, 516, 553]}]"
20231102151220_jpg.rf.87a52dc3f4c065ec4498d09fa78bb3c4.jpg,"[{""tool"": ""gas wrench"", ""bbox"": [279, 415, 368, 550]}]"
screw_driver865_jpg.rf.3406afb30f36b27cd021e332f4958172.jpg,"[{""tool"": "" Screwdriver "", ""bbox"": [60, 35, 647, 728]}]"
20231102151244_jpg.rf.2ebfef8d2a7ba2e33c0e9aa16b0890a0.jpg,"[{""tool"": ""needle-nose pliers"", ""bbox"": [270, 394, 335, 568]}]"
nipper02_jpg.rf.dc201d4c95632485cff6c2d1779f859b.jpg,"[{""tool"": ""cutting pliers"", ""bbox"": [119, 65, 640, 657]}]"
hammer12_jpg.rf.5b96d95627e08a203dfb085ea1df9d51.jpg,"[{""tool"": ""hammer"", ""bbox"": [205, 1, 497, 663]}, {""tool"": ""handsaw"", ""bbox"": [389, 1, 699, 756]}]"
top-view-steel-hammer-with-other-construction-elements-tools_23-2150576463_jpg.rf.e5044844d87601da09f1e27d7b77b2c2.jpg,"[{""tool"": ""cutting pliers"", ""bbox"": [1, 197, 168, 340]}, {""tool"": ""hammer"", ""bbox"": [405, 179, 614, 621]}, {""tool"": ""needle-nose pliers"", ""bbox"": [395, 445, 564, 635]}, {""tool"": ""ratchet"", ""bbox"": [540, 127, 614, 359]}]"
ToolsCollection3dmodels002-jpg89c5b487-32e8-4687-b2a4-b2cddc7470c9DefaultHQ_jpg.rf.b8af4011ac23aa301625e02f20f7a1be.jpg,"[{""tool"": ""gas wrench"", ""bbox"": [80, 64, 179, 463]}, {""tool"": ""hammers"", ""bbox"": [519, 47, 632, 472]}, {""tool"": ""needle-nose pliers"", ""bbox"": [149, 540, 196, 697]}, {""tool"": ""pliers"", ""bbox"": [279, 507, 349, 697]}, {""tool"": ""pliers"", ""bbox"": [369, 540, 434, 697]}, {""tool"": ""ratchet"", ""bbox"": [281, 79, 324, 469]}]"
20231102151542_jpg.rf.2569bd2adbe09adfa51f0eaf2e588a6a.jpg,"[{""tool"": ""backsaw"", ""bbox"": [154, 406, 413, 590]}, {""tool"": ""gas_wrench"", ""bbox"": [1, 357, 108, 517]}, {""tool"": ""hammer"", ""bbox"": [245, 309, 447, 457]}, {""tool"": ""needle_nose_pliers"", ""bbox"": [417, 459, 504, 635]}, {""tool"": ""pliers"", ""bbox"": [150, 261, 245, 409]}, {""tool"": ""ratchet"", ""bbox"": [220, 210, 285, 429]}]"
screw_driver803_jpg.rf.f80005efd18f7182e32bbbcbac9734e5.jpg,"[{""tool"": ""hammer"", ""bbox"": [174, 156, 603, 419]}, {""tool"": ""wrench"", ""bbox"": [171, 50, 578, 715]}]"
20231102151717_jpg.rf.be6b7fcc5b072be7b4a8f60047d73ec6.jpg,"[{""tool"": "" Adjustable spanner"", ""bbox"": [547, 460, 649, 623]}, {""tool"": "" Adjustable spanner"", ""bbox"": [18, 600, 174, 694]}, {""tool"": ""Backsaw"", ""bbox"": [382, 149, 499, 594]}, {""tool"": "" Cutting pliers"", ""bbox"": [160, 305, 234, 412]}, {""tool"": "" Drill"", ""bbox"": [539, 154, 699, 464]}, {""tool"": "" Hammer"", ""bbox"": [262, 114, 317, 520]}, {""tool"": "" Gun"", ""bbox"": [110, 442, 242, 642]}, {""tool"": "" Needle-nose pliers"", ""bbox"": [294, 625, 379, 740]}, {""tool"": "" Screwdriver"", ""bbox"": [137, 201, 264, 249]}, {""tool"": "" Screwdriver"", ""bbox"": [149, 472, 339, 617]}, {""tool"": "" Screwdriver"", ""bbox"": [180, 474, 339, 617]}]"
D_NQ_NP_653238-MLV42032733688_062020-F_jpg.rf.df22c3eb997a8a26215a5a582a387d4e.jpg,"[{""tool"": ""hammer"", ""bbox"": [89, 37, 685, 554]}, {""tool"": ""needle-nose pliers"", ""bbox"": [167, 240, 630, 654]}, {""tool"": ""ratchet"", ""bbox"": [41, 59, 442, 387]}, {""tool"": ""utility knife"", ""bbox"": [359, 449, 614, 721]}]"
2023-08-17_12-09-41_png_jpg.rf.0037e9d3ccfa30488415a220fc1a81b9.jpg,"[{""tool"": ""adjustable spanner"", ""bbox"": [307, 194, 510, 624]}]"
20231102151630_jpg.rf.9e236c709153402d629bf24e058e92ef.jpg,"[{""tool"": ""gun"", ""bbox"": [109, 438, 211, 635]}, {""tool"": ""gun"", ""bbox"": [272, 425, 415, 600]}, {""tool"": ""hand_grip"", ""bbox"": [289, 616, 395, 735]}, {""tool"": ""needle_nose_pliers"", ""bbox"": [159, 309, 262, 417]}, {""tool"": ""wrench"", ""bbox"": [346, 1, 411, 139]}]"
2023-08-17_12-09-00_png_jpg.rf.db5e179419ca4d0c5d488a98caa60f66.jpg,"[{""tool"": "" Screwdriver "", ""bbox"": [384, 147, 489, 685]}]"
20231102151436_jpg.rf.a09cb270a073344707a09ae3fd4d662b.jpg,"[{""tool"": ""gun"", ""bbox"": [234, 409, 387, 560]}]"
20231102151614_jpg.rf.564d314d67f7839ddcfa114689d47631.jpg,"[{""tool"": ""hand"", ""bbox"": [149, 658, 270, 756]}]"
000091_jpg.rf.eb36dba75f6fdf7c59c162fd7643a578.jpg,"[{""tool"": ""adjustable spanner"", ""bbox"": [94, 25, 637, 689]}]"
caliper-25-_jpg.rf.35773df410d16919c983cc35634f2dc5.jpg,"[{""tool"": ""calipers"", ""bbox"": [139, 178, 699, 754]}]"
000005_jpg.rf.beef5bb1108c24958b8fde60d8c17b10.jpg,"[{""tool"": ""adjustable spanner"", ""bbox"": [4, 239, 687, 465]}]"
