Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.6833,0.5683,0.6205,233,108,177,410
screwdriver,0.7590,0.4193,0.5401,148,47,205,353
pliers,0.7630,0.5255,0.6224,103,32,93,196
hammer,0.6623,0.8293,0.7365,102,52,21,123
ratchet,0.2237,0.2881,0.2519,17,59,42,59
hand,0.6061,0.5405,0.5714,20,13,17,37
saw,0.8182,0.3103,0.4500,9,2,20,29
gun,0.4000,0.2759,0.3265,8,12,21,29
drill,0.6667,0.3810,0.4848,8,4,13,21
tape measure,0.8750,0.5385,0.6667,7,1,6,13
calipers,0.7500,1.0000,0.8571,9,3,0,9
knife,0.2857,0.4444,0.3478,4,10,5,9
hand protection,0.0000,0.0000,0.0000,0,1,0,0
workbench,0.0000,0.0000,0.0000,0,1,0,0
handgun,0.0000,0.0000,0.0000,0,1,0,0
utilities,0.0000,0.0000,0.0000,0,1,0,0
toothbrush,0.0000,0.0000,0.0000,0,2,0,0
staple gun,0.0000,0.0000,0.0000,0,1,0,0
