Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.3217,0.1122,0.1664,46,97,364,410
screwdriver,0.5556,0.1020,0.1724,35,28,308,343
pliers,0.5676,0.1082,0.1818,21,16,173,194
hammer,0.4909,0.2213,0.3051,27,28,95,122
ratchet,0.6667,0.0678,0.1231,4,2,55,59
hand,0.7500,0.1622,0.2667,6,2,31,37
gun,1.0000,0.0345,0.0667,1,0,28,29
saw,0.0000,0.0000,0.0000,0,4,28,28
drill,0.0000,0.0000,0.0000,0,1,21,21
tape measure,0.0000,0.0000,0.0000,0,8,12,12
knife,0.1667,0.1111,0.1333,1,5,8,9
calipers,1.0000,0.3333,0.5000,3,0,6,9
duct tape,0.0000,0.0000,0.0000,0,1,0,0
cold chisel,0.0000,0.0000,0.0000,0,1,0,0
wire rope,0.0000,0.0000,0.0000,0,1,0,0
hand nipper,0.0000,0.0000,0.0000,0,1,0,0
safety glasses,0.0000,0.0000,0.0000,0,1,0,0
cutter,0.0000,0.0000,0.0000,0,2,0,0
level,0.0000,0.0000,0.0000,0,1,0,0
pencil,0.0000,0.0000,0.0000,0,1,0,0
wire brush,0.0000,0.0000,0.0000,0,1,0,0
level gauge,0.0000,0.0000,0.0000,0,1,0,0
bolt,0.0000,0.0000,0.0000,0,1,0,0
gas-tightener,0.0000,0.0000,0.0000,0,1,0,0
rubber mallet,0.0000,0.0000,0.0000,0,1,0,0
bench vice,0.0000,0.0000,0.0000,0,1,0,0
breaker bar,0.0000,0.0000,0.0000,0,1,0,0
chisel,0.0000,0.0000,0.0000,0,1,0,0
tool,0.0000,0.0000,0.0000,0,2,0,0
paintbrush,0.0000,0.0000,0.0000,0,1,0,0
wire,0.0000,0.0000,0.0000,0,3,0,0
