Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.6638,0.3850,0.4873,154,78,246,400
screwdriver,0.6804,0.3782,0.4862,132,62,217,349
pliers,0.8984,0.5867,0.7099,115,13,81,196
hammer,0.8969,0.7073,0.7909,87,10,36,123
ratchet,0.4400,0.1864,0.2619,11,14,48,59
hand,0.6250,0.2778,0.3846,10,6,26,36
gun,0.5556,0.1724,0.2632,5,4,24,29
saw,0.8000,0.2759,0.4103,8,2,21,29
drill,0.6667,0.2857,0.4000,6,3,15,21
tape measure,1.0000,0.3846,0.5556,5,0,8,13
knife,0.7500,0.3333,0.4615,3,1,6,9
calipers,1.0000,1.0000,1.0000,9,0,0,9
hand grip,0.0000,0.0000,0.0000,0,1,0,0
brush,0.0000,0.0000,0.0000,0,1,0,0
