Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.7952,0.3220,0.4583,132,34,278,410
screwdriver,0.9097,0.3711,0.5272,131,13,222,353
pliers,0.8409,0.5663,0.6768,111,21,85,196
hammer,0.8348,0.7805,0.8067,96,19,27,123
ratchet,0.0000,0.0000,0.0000,0,1,59,59
hand,1.0000,0.0270,0.0526,1,0,36,37
saw,0.6667,0.2069,0.3158,6,3,23,29
gun,1.0000,0.2069,0.3429,6,0,23,29
drill,0.5000,0.9048,0.6441,19,19,2,21
tape measure,0.5385,0.5385,0.5385,7,6,6,13
calipers,0.0000,0.0000,0.0000,0,0,9,9
knife,0.3333,0.2222,0.2667,2,4,7,9
handle,0.0000,0.0000,0.0000,0,1,0,0
c-clamp,0.0000,0.0000,0.0000,0,1,0,0
caliper,0.0000,0.0000,0.0000,0,8,0,0
nail,0.0000,0.0000,0.0000,0,2,0,0
nippers,0.0000,0.0000,0.0000,0,4,0,0
metal surface,0.0000,0.0000,0.0000,0,1,0,0
nail puller,0.0000,0.0000,0.0000,0,8,0,0
file,0.0000,0.0000,0.0000,0,5,0,0
bolt,0.0000,0.0000,0.0000,0,1,0,0
scissors,0.0000,0.0000,0.0000,0,1,0,0
screw,0.0000,0.0000,0.0000,0,1,0,0
chisel,0.0000,0.0000,0.0000,0,3,0,0
nail pullers,0.0000,0.0000,0.0000,0,1,0,0
hex key,0.0000,0.0000,0.0000,0,8,0,0
screw driver,0.0000,0.0000,0.0000,0,1,0,0
hard hat,0.0000,0.0000,0.0000,0,1,0,0
level,0.0000,0.0000,0.0000,0,9,0,0
brush,0.0000,0.0000,0.0000,0,1,0,0
camera,0.0000,0.0000,0.0000,0,1,0,0
carpenter's square,0.0000,0.0000,0.0000,0,1,0,0
snips,0.0000,0.0000,0.0000,0,3,0,0
nail_nippers,0.0000,0.0000,0.0000,0,1,0,0
socket set,0.0000,0.0000,0.0000,0,3,0,0
measuring tape,0.0000,0.0000,0.0000,0,2,0,0
hex key set,0.0000,0.0000,0.0000,0,5,0,0
nail set,0.0000,0.0000,0.0000,0,1,0,0
hex keys,0.0000,0.0000,0.0000,0,2,0,0
bolt set,0.0000,0.0000,0.0000,0,1,0,0
tongs,0.0000,0.0000,0.0000,0,1,0,0
paintroller,0.0000,0.0000,0.0000,0,1,0,0
nail gun,0.0000,0.0000,0.0000,0,4,0,0
cutter,0.0000,0.0000,0.0000,0,5,0,0
paintbrush,0.0000,0.0000,0.0000,0,1,0,0
pencil,0.0000,0.0000,0.0000,0,1,0,0
sander,0.0000,0.0000,0.0000,0,1,0,0
goggles,0.0000,0.0000,0.0000,0,1,0,0
tape,0.0000,0.0000,0.0000,0,1,0,0
paint brush,0.0000,0.0000,0.0000,0,1,0,0
flashlight,0.0000,0.0000,0.0000,0,2,0,0
paint roller,0.0000,0.0000,0.0000,0,1,0,0
nail clippers,0.0000,0.0000,0.0000,0,1,0,0
awl,0.0000,0.0000,0.0000,0,1,0,0
digital caliper,0.0000,0.0000,0.0000,0,1,0,0
carburetor cleaner,0.0000,0.0000,0.0000,0,1,0,0
