Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.5423,0.3850,0.4503,154,130,246,400
screwdriver,0.6485,0.3066,0.4163,107,58,242,349
pliers,0.8170,0.6410,0.7184,125,28,70,195
hammer,0.9091,0.8130,0.8584,100,10,23,123
ratchet,0.2273,0.1695,0.1942,10,34,49,59
hand,0.4828,0.3889,0.4308,14,15,22,36
saw,0.6154,0.5517,0.5818,16,10,13,29
gun,0.6471,0.3793,0.4783,11,6,18,29
drill,0.8824,0.7143,0.7895,15,2,6,21
tape measure,0.4444,0.3077,0.3636,4,5,9,13
calipers,0.6923,1.0000,0.8182,9,4,0,9
knife,0.1429,0.1111,0.1250,1,6,8,9
hand_grip,0.0000,0.0000,0.0000,0,4,0,0
nail,0.0000,0.0000,0.0000,0,1,0,0
nail_clippers,0.0000,0.0000,0.0000,0,3,0,0
scissors,0.0000,0.0000,0.0000,0,3,0,0
utility刀,0.0000,0.0000,0.0000,0,1,0,0
socket,0.0000,0.0000,0.0000,0,3,0,0
cutter,0.0000,0.0000,0.0000,0,5,0,0
paint brush,0.0000,0.0000,0.0000,0,1,0,0
hand_grip_ratchet,0.0000,0.0000,0.0000,0,1,0,0
spoon,0.0000,0.0000,0.0000,0,1,0,0
hand and tool box,0.0000,0.0000,0.0000,0,1,0,0
pistol,0.0000,0.0000,0.0000,0,1,0,0
