Tool,Precision,Recall,F1 Score,TP,FP,FN,Count
wrench,0.6830,0.3844,0.4920,153,71,245,398
screwdriver,0.6835,0.3195,0.4355,108,50,230,338
pliers,0.8344,0.6859,0.7529,131,26,60,191
hammer,0.8393,0.7769,0.8069,94,18,27,121
ratchet,0.2083,0.2632,0.2326,15,57,42,57
hand,0.6316,0.3243,0.4286,12,7,25,37
gun,0.4000,0.4828,0.4375,14,21,15,29
saw,0.6400,0.5714,0.6038,16,9,12,28
drill,0.8235,0.7000,0.7568,14,3,6,20
tape measure,0.3750,0.2500,0.3000,3,5,9,12
knife,0.1875,0.3750,0.2500,3,13,5,8
calipers,0.6923,1.0000,0.8182,9,4,0,9
nail clippers,0.0000,0.0000,0.0000,0,2,0,0
hand tamper,0.0000,0.0000,0.0000,0,1,0,0
hand_tightener,0.0000,0.0000,0.0000,0,2,0,0
hand_glove,0.0000,0.0000,0.0000,0,1,0,0
paint brush,0.0000,0.0000,0.0000,0,1,0,0
utility刀,0.0000,0.0000,0.0000,0,1,0,0
hand_grip,0.0000,0.0000,0.0000,0,1,0,0
